simulation,period,variable,risk,value
1,7,withdrawals,,50000.0
1,7,availableCash,,87629.20371944457
1,7,cashBuffer,,150000.0
1,7,cashDepletion,,50000.0
1,7,shortfall,,0.0
1,7,cashReplenishment,,0
1,7,financialGainLoss,,-11880.856432913453
1,8,ptf_bop,Cash,87629.20371944457
1,8,ptf_bop,Real Estate,100335.64908539211
1,8,ptf_bop,Precious Metals,15599.855777111843
1,8,ptf_bop,Bonds,159687.12127156268
1,8,ptf_bop,Crypto,12626.450510529303
1,8,ptf_bop,Stocks,203853.7379028542
1,8,ptf_eop,Cash,42062.05268210021
1,8,ptf_eop,Real Estate,98420.56290949002
1,8,ptf_eop,Precious Metals,24605.140727372505
1,8,ptf_eop,Bonds,147630.844364235
1,8,ptf_eop,Crypto,24605.140727372505
1,8,ptf_eop,Stocks,196841.12581898004
1,8,ptf1,Cash,37629.20371944457
1,8,ptf1,Real Estate,100335.64908539211
1,8,ptf1,Precious Metals,15599.855777111843
1,8,ptf1,Bonds,159687.12127156268
1,8,ptf1,Crypto,12626.450510529303
1,8,ptf1,Stocks,203853.7379028542
1,8,ptf2,Cash,37629.20371944457
1,8,ptf2,Real Estate,98420.56290949002
1,8,ptf2,Precious Metals,24605.140727372505
1,8,ptf2,Bonds,147630.84436423503
1,8,ptf2,Crypto,24605.140727372505
1,8,ptf2,Stocks,196841.12581898004
1,8,ptf3,Cash,37629.20371944457
1,8,ptf3,Real Estate,114909.01387013769
1,8,ptf3,Precious Metals,19556.98212598011
1,8,ptf3,Bonds,136652.77856358964
1,8,ptf3,Crypto,16694.52389400643
1,8,ptf3,Stocks,208722.3650563918
1,8,ptf4,Cash,42062.05268210021
1,8,ptf4,Real Estate,114909.01387013769
1,8,ptf4,Precious Metals,19556.98212598011
1,8,ptf4,Bonds,132219.929600934
1,8,ptf4,Crypto,16694.52389400643
1,8,ptf4,Stocks,208722.3650563918
1,8,ptf5,Cash,42062.05268210021
1,8,ptf5,Real Estate,98420.56290949002
1,8,ptf5,Precious Metals,24605.140727372505
1,8,ptf5,Bonds,147630.844364235
1,8,ptf5,Crypto,24605.140727372505
1,8,ptf5,Stocks,196841.12581898004
1,8,returns,Cash,0.0
1,8,returns,Money Market,-0.047931806783834886
1,8,returns,Bonds,-0.07436160002960002
1,8,returns,Stocks,0.06035953710373531
1,8,returns,Crypto,-0.3215026047205552
1,8,returns,Precious Metals,-0.2051668249869616
